"investor_id","investor_type","first_idx","last_idx","obs_hi","obs_lo","n_obs","elig_hi","elig_lo","cov_hi","cov_lo","span","cycle"
"001BQN-E","HF",1,53,16,18,34,26,27,0.615384615384615,0.666666666666667,53,"intermittent"
"001BRP-E","HF",1,46,23,23,46,23,23,1,1,46,"quarterly"
"001CMV-E","HF",15,15,0,1,1,2,2,0,0.5,1,"too short to classify"
"001DGK-E","HF",57,85,14,15,29,38,39,0.368421052631579,0.384615384615385,29,"intermittent"
"001DN5-E","HF",1,38,17,16,33,19,19,0.894736842105263,0.842105263157895,38,"quarterly"
"001DTQ-E","HF",1,14,7,7,14,7,7,1,1,14,"quarterly"
"001F5Z-E","HF",13,13,0,1,1,3,4,0,0.25,1,"too short to classify"
"001FCX-E","HF",1,31,15,16,31,15,16,1,1,31,"quarterly"
"001G5D-E","HF",15,15,0,1,1,7,7,0,0.142857142857143,1,"intermittent"
"001GB0-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"001H9G-E","HF",1,20,10,10,20,10,10,1,1,20,"quarterly"
"001J02-E","HF",33,33,0,1,1,15,16,0,0.0625,1,"intermittent"
"001KZT-E","HF",1,5,2,3,5,2,3,1,1,5,"too short to classify"
"001LH5-E","HF",27,27,0,1,1,9,10,0,0.1,1,"intermittent"
"001LRL-E","HF",1,9,4,4,8,4,5,1,0.8,9,"quarterly"
"001M86-E","HF",1,72,36,35,71,36,36,1,0.972222222222222,72,"quarterly"
"001MWW-E","HF",8,43,18,18,36,20,20,0.9,0.9,36,"quarterly"
"001P7Y-E","HF",1,19,9,8,17,9,10,1,0.8,19,"quarterly"
"001PJY-E","HF",1,76,36,32,68,38,38,0.947368421052632,0.842105263157895,76,"quarterly"
"001Q0T-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"001Q1T-E","HF",1,60,30,27,57,30,30,1,0.9,60,"quarterly"
"001QW9-E","HF",1,26,13,13,26,13,13,1,1,26,"quarterly"
"001S4P-E","HF",1,85,41,40,81,42,43,0.976190476190476,0.930232558139535,85,"quarterly"
"001SHD-E","HF",1,41,6,6,12,20,21,0.3,0.285714285714286,41,"intermittent"
"001T9P-E","HF",1,1,0,1,1,0,1,0,1,1,"too short to classify"
"001TFZ-E","HF",1,85,41,42,83,42,43,0.976190476190476,0.976744186046512,85,"quarterly"
"001TK8-E","HF",1,60,29,30,59,30,30,0.966666666666667,1,60,"quarterly"
"001TLD-E","HF",1,85,42,42,84,42,43,1,0.976744186046512,85,"quarterly"
"001TYJ-E","HF",9,12,2,1,3,3,2,0.666666666666667,0.5,4,"too short to classify"
"001V32-E","HF",1,18,9,9,18,9,9,1,1,18,"quarterly"
"001VR9-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"001W3Q-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"001WYK-E","HF",59,85,13,14,27,11,11,1.18181818181818,1.27272727272727,27,"quarterly"
"001Y8F-E","HF",1,7,3,4,7,3,4,1,1,7,"too short to classify"
"001YD6-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"001Z1N-E","HF",1,24,9,9,18,12,12,0.75,0.75,24,"intermittent"
"001ZRD-E","HF",1,52,26,26,52,26,26,1,1,52,"quarterly"
"001ZYX-E","HF",1,14,7,7,14,7,7,1,1,14,"quarterly"
"0020Z0-E","HF",1,57,27,29,56,28,29,0.964285714285714,1,57,"quarterly"
"0022H4-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002340-E","HF",1,74,15,8,23,37,37,0.405405405405405,0.216216216216216,74,"intermittent"
"0023D5-E","HF",55,56,1,1,2,7,6,0.142857142857143,0.166666666666667,2,"intermittent"
"00245B-E","HF",1,85,41,39,80,42,43,0.976190476190476,0.906976744186046,85,"quarterly"
"0024Q4-E","HF",1,75,36,38,74,37,38,0.972972972972973,1,75,"quarterly"
"002544-E","HF",9,16,4,4,8,7,7,0.571428571428571,0.571428571428571,8,"intermittent"
"002656-E","HF",1,85,41,41,82,42,43,0.976190476190476,0.953488372093023,85,"quarterly"
"00266Z-E","HF",1,14,7,7,14,7,7,1,1,14,"quarterly"
"00285H-E","HF",1,7,3,4,7,3,4,1,1,7,"too short to classify"
"0029TB-E","HF",1,15,7,8,15,7,8,1,1,15,"quarterly"
"0029VD-E","HF",1,18,9,9,18,9,9,1,1,18,"quarterly"
"0029W3-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002B2T-E","HF",1,3,1,2,3,1,2,1,1,3,"too short to classify"
"002BX9-E","HF",1,23,10,11,21,11,12,0.909090909090909,0.916666666666667,23,"quarterly"
"002C4W-E","HF",1,9,3,4,7,4,5,0.75,0.8,9,"intermittent"
"002C68-E","HF",1,15,7,8,15,7,8,1,1,15,"quarterly"
"002CS5-E","HF",1,56,28,28,56,28,28,1,1,56,"quarterly"
